Name,Description,Type,Allocation,Category,Low Density Capacity,Mid Density Capcity,High Density Capacity,Long,Lat,Coordinates
H03,H03,YG,Local,Import,179,238,298,-118.24604,33.7292612,"-118.24604,33.7292612,0
              -118.2459789,33.7291151,0
              -118.2444635,33.729559,0
              -118.2445252,33.7297017,0
              -118.24604,33.7292612,0"
H04,H04,YG,Local,Import,179,238,298,-118.2478102,33.7287615,"-118.2478102,33.7287615,0
              -118.2477492,33.7286154,0
              -118.246225,33.7290593,0
              -118.2462867,33.7292065,0
              -118.2478102,33.7287615,0"
H05,H05,YG,Local,Import,179,238,298,-118.249618,33.728206,"-118.249618,33.728206,0
              -118.249557,33.7280599,0
              -118.2480328,33.7285038,0
              -118.2480945,33.7286511,0
              -118.249618,33.728206,0"
H06,H06,YG,Local,Import,179,238,298,-118.2513936,33.7276907,"-118.2513936,33.7276907,0
              -118.2513326,33.7275446,0
              -118.2498085,33.7279885,0
              -118.2498702,33.7281358,0
              -118.2513936,33.7276907,0"
H07,H07,YG,Local,Import,388,518,647,-118.2550171,33.7266499,"-118.2550171,33.7266499,0
              -118.254942,33.7264675,0
              -118.2516016,33.7274461,0
              -118.2516747,33.7276229,0
              -118.2550171,33.7266499,0"
H09,H09,YG,Local,Import,179,238,298,-118.2567956,33.726127,"-118.2567956,33.726127,0
              -118.2567346,33.7259809,0
              -118.2552105,33.7264248,0
              -118.2552722,33.726572,0
              -118.2567956,33.726127,0"
J01,J01,YG,Local,Import,342,455,569,-118.2440965,33.7294651,"-118.2440965,33.7294651,0
              -118.2440214,33.7292827,0
              -118.2410302,33.7301543,0
              -118.2411094,33.7303511,0
              -118.2440965,33.7294651,0"
J03,K03,YG,Local,Import,149,198,248,-118.2459166,33.7289399,"-118.2459166,33.7289399,0
              -118.2458556,33.7287938,0
              -118.2443314,33.7292377,0
              -118.2443931,33.729385,0
              -118.2459166,33.7289399,0"
J04,J04,YG,Local,Import,149,198,248,-118.2477136,33.7284224,"-118.2477136,33.7284224,0
              -118.2476526,33.7282763,0
              -118.2461285,33.7287202,0
              -118.2461902,33.7288674,0
              -118.2477136,33.7284224,0"
J05,J05,YG,Local,Import,149,198,248,-118.2495188,33.7278982,"-118.2495188,33.7278982,0
              -118.2494577,33.7277521,0
              -118.2479336,33.728196,0
              -118.2479953,33.7283432,0
              -118.2495188,33.7278982,0"
J06,J06,YG,Local,Import,149,198,248,-118.2512649,33.7273606,"-118.2512649,33.7273606,0
              -118.2512039,33.7272145,0
              -118.2496797,33.7276584,0
              -118.2497414,33.7278056,0
              -118.2512649,33.7273606,0"
J07,J07,YG,Local,Import,323,431,539,-118.2548984,33.7263325,"-118.2548984,33.7263325,0
              -118.2548233,33.7261502,0
              -118.2514708,33.7271299,0
              -118.2515453,33.7273056,0
              -118.2548984,33.7263325,0"
J09,J09,YG,Local,Import,179,238,298,-118.2566588,33.7258102,"-118.2566588,33.7258102,0
              -118.2565978,33.7256641,0
              -118.2550737,33.726108,0
              -118.2551354,33.7262552,0
              -118.2566588,33.7258102,0"
